coin,opentime,openprice,highprice,lowprice,closeprice,volume,closetime,quotevolume,trades,taker_buy_volume,taker_buy_quote,unused
ARB,1679583600000,1.352500,1.447900,1.236100,1.325500,191274266.7,1679587199999,259586005.8559600,493373,91812901.9,124648146.2503000,0
ARB,1679587200000,1.325600,1.358500,1.213100,1.304300,220164583.6,1679590799999,280680645.8085500,493911,105022615.6,133975615.9026000,0
ARB,1679590800000,1.304000,1.331500,1.270000,1.288200,113246946.8,1679594399999,147519985.1503100,305731,56130381.4,73155367.7876500,0
ARB,1679594400000,1.288300,1.345300,1.276100,1.327400,65796846.5,1679597999999,86304105.1361500,227472,32937929.8,43216423.2280800,0
ARB,1679598000000,1.327400,1.430000,1.322100,1.429700,101631663.3,1679601599999,140613370.8951200,326417,53500188.5,74044741.3001400,0
ARB,1679601600000,1.429800,1.491300,1.383000,1.417900,135307522.7,1679605199999,195582327.8598000,381131,66628764.5,96407742.1522700,0
ARB,1679605200000,1.417800,1.474900,1.386400,1.466700,68707868.6,1679608799999,98306105.9975700,226505,35491835.4,50796311.7665000,0
ARB,1679608800000,1.466600,1.472400,1.350000,1.379800,66085867.8,1679612399999,92458759.9757100,222414,30556810.1,42735070.3762200,0
ARB,1679612400000,1.379800,1.399100,1.312200,1.322900,53876244.7,1679615999999,72757668.0542800,168453,24990401.2,33775346.6120900,0
ARB,1679616000000,1.323000,1.402200,1.322300,1.378200,64696454.6,1679619599999,88601838.4754900,181582,33099828.9,45328339.3023100,0
ARB,1679619600000,1.377900,1.433900,1.370800,1.418900,49005478.0,1679623199999,68645162.5936800,144961,25611793.5,35886490.7053700,0
ARB,1679623200000,1.418900,1.428600,1.390500,1.397800,41286823.7,1679626799999,58272710.7716700,125086,19870164.5,28057436.7585600,0
ARB,1679626800000,1.397800,1.415500,1.370800,1.399700,34341220.1,1679630399999,47868577.2940400,106044,16535012.6,23056477.8899000,0
ARB,1679630400000,1.399900,1.401000,1.338600,1.365700,39440278.1,1679633999999,54040547.0154000,116496,17677245.9,24229734.4007700,0
ARB,1679634000000,1.365600,1.394500,1.356100,1.393200,26016345.8,1679637599999,35778905.7676300,75188,12971568.5,17842350.7521900,0
ARB,1679637600000,1.393200,1.428100,1.382300,1.417900,48347828.7,1679641199999,68230393.4711300,127632,26049122.0,36762434.1241100,0
ARB,1679641200000,1.417600,1.492900,1.408000,1.483700,98232141.8,1679644799999,143573144.6327500,257651,51071504.2,74641756.1039300,0
ARB,1679644800000,1.483500,1.567500,1.483000,1.523800,165156104.8,1679648399999,251792198.3447900,391763,83035817.1,126654435.8548800,0
ARB,1679648400000,1.523300,1.548600,1.470500,1.480400,102870385.3,1679651999999,155308598.7469900,291300,48740233.5,73648741.4723200,0
ARB,1679652000000,1.480200,1.509100,1.456000,1.505300,83177764.9,1679655599999,122954195.5069500,218052,41774884.5,61788301.9249700,0
ARB,1679655600000,1.505400,1.509900,1.300000,1.413300,125180656.2,1679659199999,178446825.5163000,336831,58226955.2,83034851.6258600,0
