coin,opentime,openprice,highprice,lowprice,closeprice,volume,closetime,quotevolume,trades,taker_buy_volume,taker_buy_quote,unused
OP,1654092000000,1.3600000,1.3889000,1.2263000,1.3063000,8008129.2,1654095599999,10309309.64474000,48952,3755647.3,4837396.58344000,0
OP,1654095600000,1.3087000,1.3401000,1.1524000,1.1726000,8685908.9,1654099199999,10660124.91742000,51110,3926490.2,4820836.87434000,0
OP,1654099200000,1.1727000,1.1753000,1.0588000,1.0951000,17845980.1,1654102799999,19866154.86498000,94093,8583696.9,9563649.13109000,0
OP,1654102800000,1.0943000,1.2242000,1.0353000,1.2195000,19962407.4,1654106399999,22290366.49963000,98281,10318994.9,11540814.35370000,0
OP,1654106400000,1.2204000,1.2749000,1.1444000,1.1925000,20082753.5,1654109999999,24161717.40887000,114828,9726676.2,11711359.21447000,0
OP,1654110000000,1.1925000,1.3174000,1.1900000,1.2457000,15374586.0,1654113599999,19414990.87275000,89879,7744168.2,9774187.34706000,0
OP,1654113600000,1.2457000,1.2700000,1.1354000,1.2108000,9650630.5,1654117199999,11619209.35068000,63826,4903271.2,5906019.48489000,0
OP,1654117200000,1.2103000,1.3463000,1.2000000,1.2881000,12181530.1,1654120799999,15680442.24614000,71786,6173242.9,7953063.75001000,0
OP,1654120800000,1.2865000,1.3611000,1.2291000,1.2573000,11276843.2,1654124399999,14615044.44937000,70045,5428658.5,7048063.17741000,0
OP,1654124400000,1.2566000,1.2879000,1.2081000,1.2336000,6746532.0,1654127999999,8418512.04288000,39299,3293192.1,4113831.90067000,0
OP,1654128000000,1.2327000,1.2954000,1.2000000,1.2425000,7041994.4,1654131599999,8734795.81871000,36331,3408743.7,4235067.52984000,0
OP,1654131600000,1.2425000,1.3095000,1.2157000,1.2588000,5892741.5,1654135199999,7478616.12014000,29878,2744096.3,3482276.56150000,0
OP,1654135200000,1.2574000,1.2739000,1.1750000,1.1839000,7204052.6,1654138799999,8790813.90614000,30698,2850800.3,3491109.49890000,0
OP,1654138800000,1.1839000,1.2000000,1.1450000,1.1807000,7092759.1,1654142399999,8310757.31364000,32124,3154105.8,3700148.64210000,0
OP,1654142400000,1.1807000,1.2103000,1.1606000,1.1809000,5754418.9,1654145999999,6839426.36925000,28278,2850782.8,3390007.52510000,0
OP,1654146000000,1.1807000,1.1897000,1.0837000,1.1320000,11312390.0,1654149599999,12683605.57739000,53700,5059710.7,5671594.40878000,0
OP,1654149600000,1.1313000,1.1440000,1.0500000,1.1182000,13605827.6,1654153199999,14852473.98085000,59572,6373741.3,6965486.91965000,0
OP,1654153200000,1.1184000,1.1691000,1.0950000,1.1413000,11018684.7,1654156799999,12531982.94030000,46701,5495321.9,6255478.23557000,0
OP,1654156800000,1.1411000,1.1543000,1.1146000,1.1389000,7532465.4,1654160399999,8522618.68357000,32320,3597000.5,4074115.87672000,0
OP,1654160400000,1.1390000,1.2455000,1.1087000,1.2284000,19455014.7,1654163999999,23005827.98042000,79826,10074086.9,11917397.37140000,0
OP,1654164000000,1.2288000,1.2737000,1.1884000,1.2399000,22983228.8,1654167599999,28348171.58386000,94732,11416945.1,14097221.14780000,0
OP,1654167600000,1.2392000,1.2922000,1.2023000,1.2802000,10255864.3,1654171199999,12799688.72882000,48085,5216534.4,6517769.85144000,0
OP,1654171200000,1.2809000,1.4560000,1.2650000,1.4454000,68480857.0,1654174799999,95024691.97678000,258029,34694801.4,48175803.91436000,0
OP,1654174800000,1.4453000,1.4600000,1.2916000,1.3336000,65454904.6,1654178399999,89040906.55586000,230606,31978991.2,43521386.23374000,0
OP,1654178400000,1.3328000,1.4819000,1.3200000,1.4739000,52979082.9,1654181999999,74190905.11819000,211544,27434429.2,38456852.31402000,0
OP,1654182000000,1.4739000,1.5648000,1.4238000,1.5439000,79845868.7,1654185599999,119193328.35793000,312136,40827794.2,61010158.22355000,0
OP,1654185600000,1.5440000,1.6200000,1.4795000,1.5041000,104346342.6,1654189199999,162839220.04264000,388365,52149851.4,81466427.64106000,0
OP,1654189200000,1.5042000,1.5639000,1.4039000,1.4314000,64614618.1,1654192799999,95303054.31840000,226675,31447239.6,46433829.77815000,0
OP,1654192800000,1.4322000,1.4678000,1.3700000,1.4042000,39253923.5,1654196399999,55483731.83536000,165036,19395532.1,27434102.33725000,0
OP,1654196400000,1.4042000,1.4592000,1.3941000,1.4456000,22806777.1,1654199999999,32420284.22588000,102935,11698774.8,16642021.20932000,0
OP,1654200000000,1.4449000,1.4899000,1.4279000,1.4813000,20053597.1,1654203599999,29278521.09444000,88794,10140855.8,14813282.13104000,0
OP,1654203600000,1.4816000,1.5500000,1.4747000,1.5145000,30879273.3,1654207199999,46654585.43577000,141231,15445569.4,23346989.50199000,0
OP,1654207200000,1.5142000,1.5261000,1.4225000,1.4823000,25397689.2,1654210799999,37407115.66125000,114082,12456656.5,18355178.73805000,0
OP,1654210800000,1.4825000,1.5680000,1.4740000,1.5460000,30495167.3,1654214399999,46699648.51499000,126106,15327706.2,23470030.16843000,0
OP,1654214400000,1.5455000,1.6500000,1.5000000,1.6046000,48011369.2,1654217999999,76718995.64004000,199234,24243715.6,38757413.48244000,0
