opentime,openprice,highprice,lowprice,closeprice
1736467200000,2.2710,2.2865,2.2698,2.2777
1736469000000,2.2778,2.2838,2.2667,2.2718
1736470800000,2.2718,2.2765,2.2578,2.2629
1736472600000,2.2628,2.2848,2.2565,2.2825
1736474400000,2.2826,2.2937,2.2732,2.2887
1736476200000,2.2887,2.2922,2.2747,2.2770
1736478000000,2.2770,2.2835,2.2743,2.2819
1736479800000,2.2820,2.2894,2.2777,2.2874
1736481600000,2.2874,2.2995,2.2830,2.2862
1736483400000,2.2862,2.2884,2.2808,2.2875
1736485200000,2.2876,2.2927,2.2791,2.2864
1736487000000,2.2864,2.3070,2.2860,2.2992
1736488800000,2.2992,2.3011,2.2918,2.2928
1736490600000,2.2928,2.3035,2.2839,2.3002
1736492400000,2.3003,2.3082,2.2939,2.3072
1736494200000,2.3072,2.3260,2.3038,2.3094
1736496000000,2.3094,2.3210,2.3070,2.3171
1736497800000,2.3171,2.3172,2.3011,2.3097
1736499600000,2.3096,2.3139,2.3030,2.3127
1736501400000,2.3127,2.3182,2.3067,2.3122
1736503200000,2.3123,2.3185,2.3077,2.3088
1736505000000,2.3087,2.3222,2.3084,2.3198
1736506800000,2.3198,2.3204,2.3053,2.3075
1736508600000,2.3074,2.3104,2.3001,2.3089
1736510400000,2.3089,2.3106,2.2967,2.2990
1736512200000,2.2990,2.3100,2.2945,2.3084
1736514000000,2.3084,2.3186,2.3044,2.3091
1736515800000,2.3090,2.3093,2.2452,2.2767
1736517600000,2.2767,2.3071,2.2694,2.2970
1736519400000,2.2970,2.3042,2.2751,2.2935
1736521200000,2.2934,2.2934,2.2481,2.2721
1736523000000,2.2721,2.3037,2.2686,2.2884
1736524800000,2.2884,2.2913,2.2702,2.2715
1736526600000,2.2715,2.2862,2.2672,2.2752
1736528400000,2.2752,2.2979,2.2701,2.2960
1736530200000,2.2959,2.3500,2.2880,2.3493
1736532000000,2.3492,2.3625,2.3294,2.3314
1736533800000,2.3313,2.3390,2.3215,2.3349
1736535600000,2.3350,2.3472,2.3240,2.3433
1736537400000,2.3434,2.3590,2.3391,2.3578
1736539200000,2.3578,2.3620,2.3435,2.3534
1736541000000,2.3533,2.3692,2.3471,2.3557
1736542800000,2.3557,2.3585,2.3457,2.3563
1736544600000,2.3563,2.3574,2.3372,2.3389
1736546400000,2.3389,2.3445,2.3314,2.3422
1736548200000,2.3423,2.3514,2.3365,2.3423
1736550000000,2.3422,2.3428,2.3348,2.3415
1736551800000,2.3416,2.3485,2.3372,2.3411
1736553600000,2.3411,2.3504,2.3350,2.3385
1736555400000,2.3384,2.3606,2.3370,2.3598
1736557200000,2.3598,2.3640,2.3506,2.3559
1736559000000,2.3559,2.3561,2.3416,2.3547
1736560800000,2.3547,2.3570,2.3346,2.3421
1736562600000,2.3422,2.3495,2.3390,2.3470
1736564400000,2.3469,2.3470,2.3282,2.3302
1736566200000,2.3301,2.3354,2.3241,2.3308
1736568000000,2.3308,2.3397,2.3301,2.3309
1736569800000,2.3309,2.3334,2.3264,2.3334
1736571600000,2.3333,2.3377,2.3271,2.3293
1736573400000,2.3293,2.3350,2.3268,2.3316
1736575200000,2.3316,2.3418,2.3312,2.3415
1736577000000,2.3415,2.3460,2.3359,2.3377
1736578800000,2.3376,2.3457,2.3362,2.3398
1736580600000,2.3398,2.3439,2.3336,2.3436
1736582400000,2.3437,2.3515,2.3391,2.3473
1736584200000,2.3474,2.3474,2.3316,2.3400
1736586000000,2.3400,2.3592,2.3399,2.3581
1736587800000,2.3580,2.3587,2.3497,2.3560
1736589600000,2.3560,2.3650,2.3509,2.3643
1736591400000,2.3642,2.3925,2.3616,2.3862
1736593200000,2.3862,2.3962,2.3773,2.3933
1736595000000,2.3934,2.4371,2.3890,2.4189
1736596800000,2.4189,2.4304,2.3982,2.4132
1736598600000,2.4132,2.4245,2.3996,2.4056
1736600400000,2.4057,2.4098,2.3850,2.3880
1736602200000,2.3880,2.3958,2.3809,2.3933
1736604000000,2.3934,2.3995,2.3774,2.3848
1736605800000,2.3848,2.4063,2.3847,2.4011
1736607600000,2.4011,2.4083,2.3891,2.4077
1736609400000,2.4078,2.4160,2.4031,2.4067
1736611200000,2.4067,2.4196,2.3961,2.4193
1736613000000,2.4193,2.4982,2.4145,2.4744
1736614800000,2.4743,2.4860,2.4457,2.4762
1736616600000,2.4762,2.5130,2.4737,2.4814
1736618400000,2.4815,2.5040,2.4814,2.4957
1736620200000,2.4956,2.4965,2.4762,2.4894
1736622000000,2.4894,2.5009,2.4724,2.4955
1736623800000,2.4956,2.5321,2.4880,2.5292
1736625600000,2.5292,2.5368,2.5073,2.5214
1736627400000,2.5215,2.5990,2.5207,2.5919
1736629200000,2.5919,2.6038,2.5586,2.5632
1736631000000,2.5633,2.5755,2.5528,2.5737
1736632800000,2.5738,2.5755,2.5442,2.5507
1736634600000,2.5506,2.5626,2.5318,2.5483
1736636400000,2.5483,2.5734,2.5439,2.5724
1736638200000,2.5724,2.5807,2.5661,2.5761
1736640000000,2.5761,2.5835,2.5234,2.5337
1736641800000,2.5337,2.5438,2.5129,2.5214
1736643600000,2.5214,2.5219,2.5058,2.5155
1736645400000,2.5156,2.5310,2.5152,2.5302
1736647200000,2.5303,2.5425,2.5256,2.5425
1736649000000,2.5425,2.5498,2.5327,2.5432
1736650800000,2.5433,2.5457,2.5279,2.5358
1736652600000,2.5357,2.5412,2.5261,2.5412
1736654400000,2.5412,2.5519,2.5330,2.5465
1736656200000,2.5465,2.5535,2.5432,2.5512
1736658000000,2.5512,2.5555,2.5371,2.5478
1736659800000,2.5479,2.5520,2.5417,2.5463
1736661600000,2.5463,2.5503,2.5290,2.5297
1736663400000,2.5296,2.5416,2.5223,2.5225
1736665200000,2.5225,2.5291,2.5111,2.5251
1736667000000,2.5250,2.5428,2.5240,2.5415
1736668800000,2.5415,2.5507,2.5365,2.5439
1736670600000,2.5439,2.5449,2.5188,2.5237
1736672400000,2.5238,2.5318,2.5087,2.5104
