ts,middle_bid_price,largest_bid_price,largest_bid_size,largest_bid_size_price,largest_bid_size_value,top_5_bid_size_sum,middle_ask_price,largest_ask_price,largest_ask_size,largest_ask_size_price,largest_ask_size_value,top_5_ask_size_sum,ts_diff
1738022405000,3178.941012167867,3181.17,76.01,3176.36,122.18,327.74,3184.132909024099,3187.26,0.0,3185.93,120.35,267.15999999999997,1.0
1738022410000,3177.3484523675625,3180.38,0.9,3176.27,87.75,231.18,3181.2144533029614,3186.37,0.0,3180.39,81.88,178.54,1.0
1738022415000,3178.9286640291416,3180.7,4.38,3177.86,95.41,196.24,3181.9210211594122,3186.71,0.01,3182.96,88.56,184.76,1.0
1738022420000,3179.200847147396,3180.84,1.8,3178.07,78.6,168.89,3182.6634131317587,3186.76,0.01,3180.85,97.59,350.43,2.0
1738022425000,3179.4694523127023,3181.19,55.79,3178.78,81.55,346.85,3184.4108970982484,3187.21,1.19,3186.97,277.0,523.81,5.0
1738022430000,3179.0888158988855,3181.7,1.44,3176.74,20.9,54.519999999999996,3183.613375820157,3187.45,0.0,3184.34,78.59,150.15,1.0
1738022435000,3179.9775901933426,3181.72,9.67,3179.58,79.8,182.19,3184.482801207345,3187.49,0.0,3185.97,101.3,273.24,2.0
1738022440000,3180.082868167496,3182.2,2.09,3179.81,90.9,151.27,3183.722120136472,3188.02,0.0,3184.92,78.57,182.48999999999998,2.0
1738022445000,3179.1472296383417,3181.13,5.58,3178.37,78.6,132.68,3182.680013622431,3183.5,0.05,3183.49,86.09,165.38,1.0
1738022450000,3178.2654778554775,3180.4,0.63,3177.51,83.07,140.42,3181.566249897297,3186.29,0.73,3180.49,115.77,326.06,1.0
1738022455000,3177.934681408868,3180.1,0.27,3177.13,78.62,146.37,3181.3458885104515,3185.88,0.0,3182.24,111.68,225.18,1.0
1738022460000,3177.624076792388,3179.6,4.87,3176.98,78.63,135.04,3181.3081429424215,3185.63,0.0,3182.08,130.84,260.28000000000003,2.0
1738022465000,3178.409230281913,3179.88,34.11,3177.64,78.63,197.37,3182.118518672698,3185.94,0.64,3184.65,130.4,359.24,5.0
1738022470000,3177.6437398484486,3179.25,50.57,3176.72,93.24,208.04999999999998,3181.484599753365,3185.25,0.0,3181.81,78.64,159.02,1.0
1738022475000,3178.04269860734,3180.29,18.93,3175.72,30.73,87.75,3182.1697197825174,3185.52,14.7,3182.74,78.61,200.69,1.0
1738022480000,3176.8998266263716,3179.38,6.9,3175.27,85.19,209.64,3183.0978753984,3186.1,0.06,3185.04,86.36,288.44,1.0
1738022485000,3178.174544019151,3179.53,67.08,3176.96,78.64,211.2,3181.2149932003067,3185.41,0.61,3182.06,78.64,188.42000000000002,2.0
1738022490000,3179.8666662158503,3181.44,32.15,3178.74,78.58,161.62,3182.8140201643423,3187.22,0.06,3183.92,78.6,197.69,1.0
1738022495000,3180.675775641307,3182.1,71.07,3179.77,82.12,249.6,3184.4880316862595,3187.87,14.42,3185.46,134.97,348.09,3.0
1738022500000,3182.0485957611154,3184.17,116.5,3184.17,116.5,427.65999999999997,3186.8408787873786,3189.81,0.01,3187.42,304.79,596.46,5.0
1738022505000,3181.591534309946,3182.95,1.57,3182.12,21.54,57.86,3184.9860054533065,3187.24,2.91,3184.48,21.09,40.45,1.0
1738022510000,3182.024752190938,3183.59,59.66,3180.99,88.21,210.41,3185.710159152219,3189.27,7.5,3187.41,129.07,357.73,2.0
1738022515000,3182.561778724069,3184.2,0.63,3181.49,78.51,141.77,3185.694415478514,3186.63,0.0,3186.59,79.54,224.04000000000002,2.0
1738022520000,3181.27102589728,3184.11,9.43,3181.6,78.71,163.89,3185.901006128953,3187.35,7.77,3186.7,81.84,146.33,1.0
1738022525000,3182.3971711622003,3184.48,20.16,3181.53,79.08,179.49,3186.001784449158,3190.05,1.4,3186.72,124.37,300.79,3.0
1738022530000,3185.1550127358287,3186.71,0.0,3184.27,78.8,154.37,3188.7629555993954,3190.34,23.77,3189.38,88.39,220.97,1.0
1738022535000,3185.4019479391604,3187.38,0.88,3187.27,84.83,232.07999999999998,3189.4228785883593,3193.01,0.01,3189.75,85.95,234.44,2.0
1738022540000,3185.024739025415,3187.0,24.16,3184.16,82.9,153.51,3188.5853221600605,3192.75,3.16,3189.27,88.55,251.5,1.0
1738022545000,3185.118665300896,3186.65,12.08,3184.43,91.33,152.48,3189.0324271965615,3191.04,0.08,3189.44,89.01,252.46,1.0
1738022550000,3186.33694494659,3188.58,7.59,3185.7,80.01,154.75,3189.781025939222,3194.46,0.0,3190.81,78.48,172.83,1.0
1738022555000,3187.0953502953507,3189.21,51.09,3186.69,86.3,227.25,3191.1353350483237,3195.08,0.0,3191.8,78.4,254.15,1.0
1738022560000,3186.9280392976593,3188.8,1.45,3186.21,82.19,149.2,3190.7981394782255,3194.78,6.09,3191.32,82.93,265.44,2.0
1738022565000,3186.786483283213,3188.59,41.03,3185.84,82.82,204.49,3190.0393582587444,3194.31,0.0,3190.95,78.41,215.26,2.0
1738022570000,3186.8550764333468,3188.59,41.19,3185.91,82.54,268.09000000000003,3190.790354415633,3194.41,0.08,3191.12,79.69,289.51,5.0
1738022575000,3187.344975567063,3189.3,29.42,3186.52,85.72,170.26,3190.793863134658,3194.98,0.0,3191.66,89.54,190.31,1.0
