date,open,high,low,close,gap_day,next_close,open_change,high_change,low_change,close_change,ma_close_5,ma_close_10,prev_open,prev_high,prev_low,prev_close,daily_range,gap_change,close_ma5_ratio,close_ma10_ratio
2012-01-02,9150.0,9200.0,9067.0,9080.0,1,9135.0,50.0,-8.0,4.0,13.0,9074.0,9070.833333333334,9100.0,9208.0,9063.0,9067.0,133.0,83.0,1.000661229887591,1.0010105649977032
2012-01-03,9090.0,9185.0,9090.0,9135.0,1,9137.0,-60.0,-15.0,23.0,55.0,9094.0,9080.0,9150.0,9200.0,9067.0,9080.0,95.0,10.0,1.0045084671211788,1.006057268722467
2012-01-04,9160.0,9185.0,9137.0,9137.0,1,9193.0,70.0,0.0,47.0,2.0,9117.333333333334,9087.125,9090.0,9185.0,9090.0,9135.0,48.0,25.0,1.0021570634688506,1.0054885346025284
2012-01-05,9175.0,9203.0,9112.0,9193.0,1,9095.0,15.0,18.0,-25.0,56.0,9136.25,9104.375,9160.0,9185.0,9137.0,9137.0,91.0,38.0,1.0062115200437816,1.0097343310221734
2012-01-06,9178.0,9213.0,9095.0,9095.0,3,9150.0,3.0,10.0,-17.0,-98.0,9128.0,9106.875,9175.0,9203.0,9112.0,9193.0,118.0,-15.0,0.996384750219106,0.9986960400796102
2012-01-09,9213.0,9233.0,9150.0,9150.0,1,9155.0,35.0,20.0,55.0,55.0,9146.0,9131.666666666666,9178.0,9213.0,9095.0,9095.0,83.0,118.0,1.000437349661054,1.0020076656324148
2012-01-10,9200.0,9228.0,9155.0,9155.0,1,9160.0,-13.0,-5.0,5.0,5.0,9133.333333333334,9135.0,9213.0,9233.0,9150.0,9150.0,73.0,50.0,1.0023722627737226,1.0021893814997263
2012-01-11,9200.0,9220.0,9154.0,9160.0,1,9160.0,0.0,-8.0,-1.0,5.0,9155.0,9138.125,9200.0,9228.0,9155.0,9155.0,66.0,45.0,1.0005461496450028,1.0023938171123725
2012-01-12,9225.0,9225.0,9157.0,9160.0,1,9082.0,25.0,5.0,3.0,0.0,9156.25,9148.125,9200.0,9220.0,9154.0,9160.0,68.0,65.0,1.0004095563139932,1.0012980802076927
2012-01-13,9205.0,9205.0,9079.0,9082.0,3,9130.0,-20.0,-20.0,-78.0,-78.0,9141.4,9141.5,9225.0,9225.0,9157.0,9160.0,126.0,45.0,0.9935020893954974,0.9934912213531696
