date,open,high,low,close
1991-11-05,1977.0,1977.0,1977.0,1977.0
1991-11-06,1977.0,1977.0,1977.0,1977.0
1991-11-07,1977.0,1977.0,1977.0,1977.0
1991-11-08,1977.0,1977.0,1977.0,1977.0
1991-11-11,1977.0,1977.0,1977.0,1977.0
1991-11-12,1977.0,1977.0,1977.0,1977.0
1991-11-13,1978.0,1978.0,1978.0,1978.0
1991-11-14,1978.0,1978.0,1978.0,1978.0
1991-11-15,1978.0,1978.0,1978.0,1978.0
1991-11-18,1978.0,1978.0,1978.0,1978.0
1991-11-19,1978.0,1980.0,1978.0,1980.0
1991-11-20,1978.0,1978.0,1978.0,1978.0
1991-11-21,1978.0,1978.0,1978.0,1978.0
1991-11-22,1978.0,1978.0,1978.0,1978.0
1991-11-25,1978.0,1978.0,1978.0,1978.0
1991-11-26,1980.0,1980.0,1980.0,1980.0
1991-11-27,1980.0,1980.0,1980.0,1980.0
1991-11-28,1980.0,1980.0,1980.0,1980.0
1991-11-29,1980.0,1980.0,1980.0,1980.0
1991-12-02,1980.0,1980.0,1980.0,1980.0
1991-12-03,1982.0,1982.0,1982.0,1982.0
1991-12-04,1982.0,1982.0,1982.0,1982.0
1991-12-05,1982.0,1982.0,1982.0,1982.0
1991-12-06,1982.0,1982.0,1982.0,1982.0
1991-12-09,1982.0,1982.0,1982.0,1982.0
1991-12-10,1989.0,1989.0,1989.0,1989.0
1991-12-11,1989.0,1989.0,1989.0,1989.0
1991-12-12,1989.0,1989.0,1989.0,1989.0
1991-12-13,1989.0,1989.0,1989.0,1989.0
1991-12-16,1989.0,1989.0,1989.0,1989.0
1991-12-17,1984.0,1984.0,1984.0,1984.0
1991-12-18,1984.0,1984.0,1984.0,1984.0
1991-12-19,1984.0,1984.0,1984.0,1984.0
1991-12-20,1984.0,1984.0,1984.0,1984.0
1991-12-23,1984.0,1984.0,1984.0,1984.0
1991-12-24,1984.0,1984.0,1984.0,1984.0
1991-12-25,1984.0,1984.0,1984.0,1984.0
