,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy,USDJPY BGN Curncy
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,BID,ASK,PX_MID,high,low
2011-01-03,81.34,81.75,80.93,81.74,81.73,81.74,81.735,81.75,80.93
2011-01-04,81.74,82.28,81.61,82.04,82.03,82.05,82.038,82.28,81.61
2011-01-05,82.04,83.38,81.89,83.25,83.24,83.26,83.248,83.38,81.89
2011-01-06,83.25,83.4,82.88,83.33,83.32,83.34,83.327,83.4,82.88
2011-01-07,83.33,83.68,82.86,83.15,83.13,83.17,83.149,83.68,82.86
2011-01-10,83.11,83.29,82.67,82.71,82.7,82.71,82.705,83.29,82.67
2011-01-11,82.71,83.49,82.68,83.24,83.23,83.25,83.239,83.49,82.68
2011-01-12,83.24,83.47,82.81,83.0,82.99,83.01,83.0,83.47,82.81
2011-01-13,83.0,83.15,82.55,82.81,82.8,82.83,82.815,83.15,82.55
2011-01-14,82.81,83.07,82.41,82.87,82.84,82.89,82.867,83.07,82.41
2011-01-17,82.88,83.01,82.35,82.68,82.66,82.69,82.675,83.01,82.35
2011-01-18,82.68,82.83,82.34,82.56,82.55,82.56,82.555,82.83,82.34
2011-01-19,82.56,82.69,81.85,82.02,82.01,82.03,82.018,82.69,81.85
2011-01-20,82.02,83.13,82.01,83.01,82.99,83.02,83.005,83.13,82.01
2011-01-21,83.0,83.09,82.53,82.57,82.55,82.58,82.566,83.09,82.53
2011-01-24,82.59,82.92,82.31,82.53,82.52,82.53,82.526,82.92,82.31
2011-01-25,82.53,82.67,81.98,82.25,82.24,82.26,82.25,82.67,81.98
2011-01-26,82.25,82.61,81.98,82.17,82.16,82.18,82.171,82.61,81.98
2011-01-27,82.17,83.22,82.02,82.92,82.91,82.93,82.919,83.22,82.02
2011-01-28,82.92,82.93,81.99,82.12,82.1,82.14,82.119,82.93,81.99
2011-01-31,82.05,82.26,81.78,82.04,82.03,82.06,82.045,82.26,81.78
2011-02-01,82.04,82.15,81.31,81.35,81.34,81.36,81.351,82.15,81.31
2011-02-02,81.35,81.86,81.35,81.55,81.54,81.56,81.548,81.86,81.35
2011-02-03,81.55,82.06,81.41,81.63,81.62,81.63,81.627,82.06,81.41
2011-02-04,81.63,82.47,81.13,82.18,82.17,82.2,82.183,82.47,81.13
2011-02-07,82.22,82.47,82.16,82.33,82.32,82.34,82.326,82.47,82.16
2011-02-08,82.33,82.42,81.78,82.36,82.35,82.37,82.364,82.42,81.78
2011-02-09,82.36,82.67,82.2,82.36,82.35,82.36,82.357,82.67,82.2
2011-02-10,82.36,83.37,82.34,83.23,83.22,83.23,83.225,83.37,82.34
2011-02-11,83.23,83.68,83.21,83.43,83.42,83.45,83.433,83.68,83.21
2011-02-14,83.43,83.57,83.1,83.32,83.31,83.34,83.325,83.57,83.1
2011-02-15,83.32,83.92,83.2,83.77,83.76,83.77,83.766,83.92,83.2
2011-02-16,83.77,83.98,83.5,83.68,83.67,83.69,83.681,83.98,83.5
2011-02-17,83.68,83.75,83.16,83.31,83.3,83.32,83.312,83.75,83.16
2011-02-18,83.31,83.53,83.03,83.18,83.17,83.2,83.184,83.53,83.03
2011-02-21,83.05,83.27,83.02,83.14,83.13,83.15,83.14,83.27,83.02
2011-02-22,83.14,83.54,82.58,82.77,82.76,82.78,82.77,83.54,82.58
2011-02-23,82.77,82.89,82.32,82.51,82.5,82.52,82.512,82.89,82.32
2011-02-24,82.51,82.52,81.63,81.89,81.88,81.9,81.892,82.52,81.63
2011-02-25,81.89,82.07,81.64,81.68,81.65,81.7,81.676,82.07,81.64
2011-02-28,81.7,81.98,81.62,81.78,81.77,81.79,81.78,81.98,81.62
2011-03-01,81.78,82.24,81.74,81.86,81.85,81.86,81.857,82.24,81.74
2011-03-02,81.86,82.11,81.57,81.87,81.87,81.88,81.87,82.11,81.57
2011-03-03,81.87,82.52,81.73,82.45,82.44,82.45,82.445,82.52,81.73
2011-03-04,82.45,83.07,82.21,82.32,82.3,82.34,82.316,83.07,82.21
2011-03-07,82.29,82.4,81.95,82.24,82.23,82.24,82.237,82.4,81.95
2011-03-08,82.24,82.86,82.21,82.67,82.66,82.68,82.668,82.86,82.21
2011-03-09,82.67,82.94,82.58,82.74,82.73,82.75,82.74,82.94,82.58
2011-03-10,82.74,83.17,82.7,82.98,82.98,82.99,82.983,83.17,82.7
2011-03-11,82.98,83.3,81.66,81.84,81.79,81.9,81.845,83.3,81.66
2011-03-14,81.74,82.45,80.62,81.63,81.62,81.64,81.63,82.45,80.62
2011-03-15,81.63,82.01,80.61,80.72,80.71,80.73,80.722,82.01,80.61
2011-03-16,80.72,81.17,79.57,79.59,79.58,79.6,79.59,81.17,79.57
2011-03-17,79.59,79.75,76.25,78.89,78.88,78.91,78.894,79.75,76.25
2011-03-18,78.89,81.99,78.83,80.58,80.57,80.6,80.584,81.99,78.83
