Time	Open	High	Low	Close	Volume
2008-10-17 00:00:00	101.55	101.79	100.6	101.655	12491395	14
2008-10-19 00:00:00	101.59	101.7	101.4	101.49	285361	84
2008-10-20 00:00:00	101.49	102.41	101.35	102.115	11347174	17
2008-10-21 00:00:00	102.12	102.155	100.05	100.225	15796358	18
2008-10-22 00:00:00	100.225	100.435	97.225	97.735	15914004	17
2008-10-23 00:00:00	97.735	98.315	95.935	97.59	13373850	25
2008-10-24 00:00:00	97.585	97.605	90.88	94.29	10093605	33
2008-10-26 00:00:00	93.335	93.53	91.845	93.53	521872	148
2008-10-27 00:00:00	93.53	94.465	92.05	93.2	8236604	47
2008-10-28 00:00:00	93.195	99.69	92.625	98.195	695071	30
2008-10-29 00:00:00	98.21	98.265	96.065	97.545	690399	23
2008-10-30 00:00:00	97.55	99.12	97.385	98.76	703066	24
2008-10-31 00:00:00	98.765	99.115	96.34	98.435	565758	31
2008-11-02 00:00:00	98.615	98.62	98.195	98.52	6187	51
2008-11-03 00:00:00	98.5	99.645	98.295	98.97	554598	46
2008-11-04 00:00:00	98.98	100.555	98.37	99.76	607059	32
2008-11-05 00:00:00	99.76	99.855	97.725	98.205	794138	27
2008-11-06 00:00:00	98.21	98.675	97.205	97.275	732594	20
2008-11-07 00:00:00	97.275	98.67	96.75	98.2	729771	28
2008-11-09 00:00:00	99.135	99.205	98.63	99	13327	80
2008-11-10 00:00:00	99.005	99.475	97.585	97.97	514653	24
2008-11-11 00:00:00	97.97	98.295	97.145	97.275	583832	33
2008-11-12 00:00:00	97.285	98.07	94.465	94.805	727813	24
2008-11-13 00:00:00	94.795	98.265	94.795	97.59	731558	23
2008-11-14 00:00:00	97.595	97.74	96.05	97.035	426473	26
2008-11-16 00:00:00	95.89	96.81	95.885	96.22	17452	50
2008-11-17 00:00:00	96.21	97.54	96	96.39	479042	40
2008-11-18 00:00:00	96.395	97.415	96.02	96.75	509699	23
2008-11-19 00:00:00	96.75	97.09	95.54	96.03	434831	21
2008-11-20 00:00:00	96.03	96.235	93.55	94.055	355445	21
2008-11-21 00:00:00	94.055	95.97	93.81	95.935	393319	23
2008-11-23 00:00:00	95.825	96.07	95.765	95.955	8891	54
2008-11-24 00:00:00	95.97	97.42	94.925	96.88	602991	29
2008-11-25 00:00:00	96.885	96.935	94.935	95.45	514260	13
2008-11-26 00:00:00	95.455	95.95	94.605	95.63	502481	14
2008-11-27 00:00:00	95.63	95.71	94.99	95.44	276128	21
2008-11-28 00:00:00	95.44	95.745	95.115	95.485	305262	13
2008-11-30 00:00:00	95.48	95.555	95.335	95.36	8719	75
2008-12-01 00:00:00	95.335	95.415	92.865	93.21	453279	13
2008-12-02 00:00:00	93.195	93.82	92.63	93.16	505686	14
2008-12-03 00:00:00	93.16	93.615	92.535	93.145	363257	22
2008-12-04 00:00:00	93.145	93.41	92.06	92.45	557075	12
2008-12-05 00:00:00	92.455	93.375	91.58	92.84	688269	16
2008-12-07 00:00:00	92.84	92.885	92.68	92.765	4725	50
2008-12-08 00:00:00	92.76	93.905	92.545	92.985	618993	22
2008-12-09 00:00:00	92.985	93.055	91.93	92.315	648795	24
2008-12-10 00:00:00	92.315	93.03	92.27	92.83	598983	12
2008-12-11 00:00:00	92.83	92.845	91.155	91.52	490218	18
2008-12-12 00:00:00	91.515	91.855	88.06	91.145	449406	20
2008-12-14 00:00:00	91.305	91.305	90.45	90.7	14460	53
2008-12-15 00:00:00	90.71	91.345	90.24	90.525	476418	24
2008-12-16 00:00:00	90.525	90.625	88.62	88.69	490655	16
